Ref,Status,Location,Description,Created,Target,Type,To Package,Status Changed,Association,OverDue,Images,Comments,Documents,Priority,Cause,Project,Report Status,Task Group,Resolution_Days,OverDue_Flag
T1.23963030,Open,JPC Project Management>EHS Management>01 Inspections,"task raised in incorrect location of this form. see field ""Have the EHS task(s), raised from the previous day(s) been actioned and closed?""",2020-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,2020-09-14,FormAnswer,False,False,False,False,Behavioural Failure,JPC - Safety - Documentation,1328,Open,Safety,0,0
T116412.200,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>Block 1 - Bracken Lane Elevation,Metsec,2020-09-14,,JPC - Progress Photo,Ceilings & Partitions,2020-09-14,None,False,True,False,False,Standard,Unassigned,1328,Closed,Site Management,0,0
T141663.27,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good clear exclusion zones and access through site,2020-09-14,,Safety Notice (Green) - Good Observation,Main Contractor,2020-09-14,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Closed,Safety,0,0
T116412.199,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>5th Floor Plan,RC walls,2020-09-14,,JPC - Progress Photo,Precast Concrete,2020-09-14,None,False,True,False,False,Standard,Unassigned,1328,Closed,Site Management,0,0
T141663.26,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,"block 02 working level has good housekeeping, clear access, and good edge protection",2020-09-14,,Safety Notice (Green) - Good Observation,Precast Concrete,2020-09-14,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,0,0
T116412.198,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Roof GA,A3 Roofing,2020-09-14,,JPC - Progress Photo,Roofing,2020-09-14,None,False,True,False,False,Standard,Unassigned,1328,Closed,Site Management,0,0
T141663.25,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,operaiver using hand sanitizer points onsite. Good practice,2020-09-14,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,2020-09-14,FormAnswer,False,True,False,False,Standard,JPC - Safety - Welfare Facilities,1328,Closed,Safety,0,0
T116412.197,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation),Tyvec install,2020-09-14,,JPC - Progress Photo,Cladding & Roofing,2020-09-14,None,False,True,False,False,Standard,Unassigned,1328,Closed,Site Management,0,0
T141663.24,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,number of operative fully pee compliant,2020-09-14,,Safety Notice (Green) - Good Observation,Main Contractor,2020-09-14,FormAnswer,False,False,False,False,Standard,JPC - Safety - PPE,1328,Closed,Safety,0,0
T141663.23,Open,JPC Project Management>EHS Management>01 Inspections,doors to pods removed. to be reviewed to ensure protection of finishes,2020-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,2020-09-14,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Open,Safety,0,0
T141663.22,Open,JPC Project Management>EHS Management>01 Inspections,entry room to mass climber cluttered with materials and little. this area is to remain clean and clear to prevent trips,2020-09-14,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-14,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Storage,1328,Open,Safety,0,0
T141663.21,Open,JPC Project Management>EHS Management>01 Inspections,toe board missing,2020-09-14,,Safety Notice (Amber) - General Issue,Scaffolding,2020-09-14,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Access,1328,Open,Safety,0,0
T141663.20,Open,JPC Project Management>EHS Management>01 Inspections,number of operative not wearing full PPE (glass). corrective action took place. a number of people questioned the requirement with concerns for impared vision (glasses fogging) a number of operatived were not aware alternaive antimist glasses or spray was available. this should be highlighted at toolbox talks and focus on manager to supply. following a rewalk to ensure PPE comment were taken on board compliance remained high,2020-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,2020-09-14,FormAnswer,False,False,False,False,System Failure,JPC - Safety - PPE,1328,Open,Safety,0,0
T141663.19,Open,JPC Project Management>EHS Management>01 Inspections,"sanitiser point could be erected in block 01, as could safter station",2020-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,2020-09-14,None,False,True,False,False,Standard,JPC - Safety - Documentation,1328,Open,Safety,0,0
T141663.18,Open,JPC Project Management>EHS Management>01 Inspections,no safety station upper floors block 03/04. these should be installed as fitting out trades are commencing works here. fire point required JPC attention,2020-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,2020-09-14,None,False,True,False,False,Standard,JPC - Safety - Welfare Facilities,1328,Open,Safety,0,0
T141663.17,Open,JPC Project Management>EHS Management>01 Inspections,ladder tag dated for a month. this should be a weekly inspection,2020-09-14,,Safety Notice (Amber) - General Issue,Mechanical,2020-09-14,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Ladders,1328,Open,Safety,0,0
T141663.16,Open,JPC Project Management>EHS Management>01 Inspections,no ladder tag,2020-09-14,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-14,FormAnswer,False,True,False,False,Standard,JPC - Safety - WAH Equipment,1328,Open,Safety,0,0
T141663.15,Open,JPC Project Management>EHS Management>01 Inspections,no ladder tag,2020-09-14,,Safety Notice (Amber) - General Issue,Precast Concrete,2020-09-14,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Ladders,1328,Open,Safety,0,0
T141663.14,Open,JPC Project Management>EHS Management>01 Inspections,review of level 08 gaurd rail required around parapets. detail differs here from locations where concrete parapet is not acting as toe board. the first rail is the mid rail. seems like a lower rail is required to prevent accidents,2020-09-14,,Safety Notice (Amber) - General Issue,Scaffolding,2020-09-14,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Open,Safety,0,0
T141663.13,Open,JPC Project Management>EHS Management>01 Inspections,drinking bottles from contractors not being disposed of,2020-09-14,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-14,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T116412.196,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>4th to 5th Floor,Flatpack duct not sealed laterally.,2020-09-14,2020-09-20,JPC - Quality Defect (compliance),Ceilings & Partitions,2020-09-14,FormAnswer,False,True,True,False,Standard,JPC - Quality - Workmanship,1328,Open,Quality,0,0
T116412.195,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>1. Bracken Lane (South Elevation)>4th to 5th Floor,Flatpack duct not sealed laterally.,2020-09-14,2020-09-20,JPC - Quality Defect (compliance),Ceilings & Partitions,2020-09-14,FormAnswer,False,True,True,False,Standard,JPC - Quality - Workmanship,1328,Open,Quality,0,0
T131475.100,Open / Ongoing Works,JPC Project Management>EHS Management,"Temporary lighting required block 4, levels 5, 6, 7",2020-09-11,2020-09-17,JPC - Works To Go,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Open,Site Management,0,0
T107663.55,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good clear walkways Block 1 L5,2020-09-11,,Safety Notice (Green) - Good Observation,Main Contractor,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Closed,Safety,0,0
T107663.54,Open,JPC Project Management>EHS Management>01 Inspections,Sweeping of rubbish into corners on areas where there are loading bays,2020-09-11,,Safety Notice (Amber) - General Issue,Precast Concrete,2020-09-11,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T131475.99,Open,JPC Project Management>EHS Management,Cables to be pinned up appropriately,2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - Temporary Electrics,1328,Open,Safety,0,0
T107663.53,Closed,JPC Project Management>EHS Management>01 Inspections,Poor housekeeping. Needs to skipped,2020-09-11,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-15,FormAnswer,False,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety,4,0
T131475.98,Open,JPC Project Management>EHS Management,Cables to be tidied at transformers.,2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - Electrical,1328,Open,Safety,0,0
T107663.52,Closed,JPC Project Management>EHS Management>01 Inspections,Food waste,2020-09-11,,Safety Notice (Amber) - General Issue,Mechanical,2020-09-11,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety,0,0
T107663.51,Closed,JPC Project Management>EHS Management>01 Inspections,Storage of materials in Hodgins area,2020-09-11,,Safety Notice (Amber) - General Issue,Curtain Walling,2020-09-11,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Storage,1328,Closed,Safety,0,0
T131475.97,Open,JPC Project Management>EHS Management,Multiple instances of Broken lights to be replaced block 3,2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - Electrical,1328,Open,Safety,0,0
T107663.50,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good housekeeping in Block 1 L3,2020-09-11,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,0,0
T131475.96,Open,JPC Project Management>EHS Management,"Broken light to be replaced block 3, level 1, area 3",2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-11,None,False,True,False,False,Standard,JPC - Safety - Electrical,1328,Open,Safety,0,0
T107663.49,Closed,JPC Project Management>EHS Management>01 Inspections,Hanging wire,2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-15,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Lead Management,1328,Closed,Safety,4,0
T107663.48,Closed,JPC Project Management>EHS Management>01 Inspections,General housekeeping around mastclimbers in courtyard,2020-09-11,,Safety Notice (Amber) - General Issue,Fire Stopping,2020-09-15,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety,4,0
T131475.95,Open / Ongoing Works,JPC Project Management>EHS Management,Temporary power required on Block 1&2 bedroom floors.,2020-09-11,2020-09-17,JPC - Works To Go,Temporary Electrics,2020-09-11,FormAnswer,False,False,False,False,Standard,Unassigned,1328,Open,Site Management,0,0
T131475.94,Open / Ongoing Works,JPC Project Management>EHS Management,Temporary lighting required on bracken lane for darker mornings and evenings,2020-09-11,2020-09-17,JPC - Works To Go,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Open,Site Management,0,0
T131475.93,Open / Ongoing Works,JPC Project Management>EHS Management,"Temporary lighting required Block 2, levels 1 and above",2020-09-11,2020-09-17,JPC - Works To Go,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Open,Site Management,0,0
T131475.92,Open / Ongoing Works,JPC Project Management>EHS Management,"Temporary lighting required block 1, levels 2 and above",2020-09-11,2020-09-17,JPC - Works To Go,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Open,Site Management,0,0
T131475.91,Open,JPC Project Management>EHS Management,Live power signage required site wide. Multiple cases have been spotted,2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety,0,0
T131475.90,Open,JPC Project Management>EHS Management,"TC1 Board not locked, and insufficient signage. Needs proper cover from the elements. Transformer needs to be covered. Main isolator switch left lying out in the elements. The isolator switch was brought up in the last inspection and not auctioned.",2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety,0,0
T131475.89,Open,JPC Project Management>EHS Management,more live power signage required on temporary electrics cables,2020-09-11,,Safety Notice (Amber) - General Issue,Temporary Electrics,2020-09-11,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety,0,0
T116412.194,Open,JPC Project Management,protection required,2020-09-10,,Safety Notice (Amber) - General Issue,Mechanical,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Quality - Workmanship,1328,Open,Safety,0,0
T116412.193,Open,JPC Project Management,remove rubbish and tidy materials T the end of the day,2020-09-10,,Safety Notice (Amber) - General Issue,Mechanical,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T116412.192,Open,JPC Project Management,remove props,2020-09-10,,Safety Notice (Amber) - General Issue,Precast Concrete,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T116412.191,Complete,JPC Project Management,block 4 level 2,2020-09-10,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T116412.190,Open,JPC Project Management,consolidate material to one location,2020-09-10,,Safety Notice (Amber) - General Issue,Fire Stopping,2020-09-10,FormAnswer,False,True,True,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T116412.189,Complete,JPC Project Management,loading bay not a storage area,2020-09-10,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T116412.188,Works Complete / Resolved,JPC Project Management,good cutting station set up,2020-09-10,2020-09-16,JPC - Quality Defect (compliance),Ceilings & Partitions,2020-09-11,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Quality,1,0
T116412.187,Open,JPC Project Management,remove all props from floors where not needed,2020-09-10,,Safety Notice (Amber) - General Issue,Precast Concrete,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T116412.186,Open / Ongoing Works,JPC Project Management,cables need to be tagged throughout all buildings,2020-09-10,2020-09-16,JPC - Quality Defect (compliance),Temporary Electrics,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - Temporary Electrics,1328,Open,Quality,0,0
T116412.185,Open / Ongoing Works,JPC Project Management,all rubbish to skip at end of the day,2020-09-10,2020-09-16,JPC - Quality Defect (compliance),Temporary Electrics,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - Working At Height,1328,Open,Quality,0,0
T116412.184,EHS Good Observation,JPC Project Management,tidy cables at high level,2020-09-10,,Safety Notice (Green) - Good Observation,Temporary Electrics,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Quality - Workmanship,1328,Closed,Safety,0,0
T118982.21,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>2nd Floor Plan,Design not finalised ,2020-09-10,2020-09-16,Design Team - BCAR Architectural,Unassigned,2020-09-10,ForwardedFrom,False,False,False,False,High,Unassigned,1328,Open,Design Team,0,0
T119055.117,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 3,water ingress no hand over,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.116,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 2,handover required,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.115,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,handover required,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.114,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,material hoist in the way+ curtain wall,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.113,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,material hoist in the way+ curtain wall,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.112,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3,room 365 handover required,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.111,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3,handover required for ceilings,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.110,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,handover required for ceilings,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.109,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,material hoist in the way+ curtain wall,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Safety - Access,1328,Open,Site Management,0,0
T119055.108,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,handover required for ceilings,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.107,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,water ingress no hand over,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Safety - Access,1328,Open,Site Management,0,0
T119055.106,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,multiple rooms handover required,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.105,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,material hoist in the way+ curtain wall,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Safety - Access,1328,Open,Site Management,0,0
T119055.104,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3,room 265 handover required,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.103,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3,ap265 access for b4,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Safety - Access,1328,Open,Site Management,0,0
T119055.102,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2,water ingress no hand over,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 5 Weather,1328,Open,Site Management,0,0
T119055.101,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2,no handover for corridor,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.99,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 1,hanover needed pod 2nd fix electrical,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.98,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 1,material hoist in the way+ curtain wall,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Safety - Demolition,1328,Open,Site Management,0,0
T119055.97,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,handover for disable toilets,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.96,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,ap165 access for b4,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Safety - Access,1328,Open,Site Management,0,0
T119055.95,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,no handover for corridor,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Program - 6 Information,1328,Open,Site Management,0,0
T119055.94,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2,access required in kitchen extraction raiser,2020-09-09,2020-09-15,Program Constraint Task (Last Planner),Main Contractor,2020-09-09,ForwardedFrom,False,False,False,False,Standard,JPC - Safety - Access,1328,Open,Site Management,0,0
T141007.46,Open,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T141007.45,Open,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T141007.44,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,tether oftools,2020-09-09,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - Working At Height,1328,Closed,Safety,0,0
T141007.43,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Green) - Good Observation,Scaffolding,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,0,0
T141007.42,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T141007.41,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-10,FormAnswer,False,True,True,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T141007.40,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T141007.39,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T141007.38,Open,JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Mechanical,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T141007.37,Open,JPC Project Management>EHS Management>01 Inspections,scaffolding materials,2020-09-09,,Safety Notice (Amber) - General Issue,Scaffolding,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,0,0
T141007.36,Open / Ongoing Works,JPC Project Management>EHS Management>04 Staturatury Forms,TrT housekeeping,2020-09-09,2020-09-15,Design Team - BCAR Electrical,Mechanical,2020-09-09,None,False,False,False,False,Standard,Unassigned,1328,Open,Design Team,0,0
T141007.35,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,trailing  leads,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - Lead Management,1328,Open,Safety,1,0
T141007.34,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,use of ladder,2020-09-09,,Safety Notice (Amber) - General Issue,Precast Concrete,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - WAH Equipment,1328,Open,Safety,1,0
T141007.33,Open,JPC Project Management>EHS Management>04 Staturatury Forms,TrT housekeeping,2020-09-09,,Safety Notice (Amber) - General Issue,Mechanical,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1328,Open,Safety,0,0
T141007.32,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,material storage,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T141007.30,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,fire extinguisher required,2020-09-09,,Safety Notice (Amber) - General Issue,Structural Steel,2020-09-12,FormAnswer,False,True,True,False,Standard,JPC - Safety - Plant & Equipment,1328,Open,Safety,3,0
T141007.28,Open,JPC Project Management>EHS Management>04 Staturatury Forms,tether of tools,2020-09-09,,Safety Notice (Amber) - General Issue,Scaffolding,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - Plant & Equipment,1328,Open,Safety,0,0
T118318.207,Complete,JPC Project Management>Site Management,Houeekeeping,2020-09-08,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-10,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,2,0
T118318.206,Complete,JPC Project Management>Site Management,Housekeeping l2 A3,2020-09-08,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
T118318.205,Complete,JPC Project Management>Site Management,Sweeping bruses needed by errigal,2020-09-08,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-09-09,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Open,Safety,1,0
